BIPA	GRAPHEME	COUNT	SYMBOLS
õ	õ	8	◌o ◌̃
õː	õː	1	◌o ◌̃ ◌ː
o̘	o̘	4	◌o ◌̘
o̞	o̞	1	◌o ◌̞
o̤	o̤	1	◌o ◌̤
o̥	o̥	1	◌o ◌̥
p	p	210	◌p
pʰ	ph	1	◌p ◌ʰ
pˡ	pl	1	◌p ◌ˡ
pʰ	pʰ	36	◌p ◌ʰ
pʲ	pʲ	2	◌p ◌ʲ
pʷ	pʷ	3	◌p ◌ʷ
pʼ	pʼ	24	◌p ◌ʼ
pˀ	pˀ	8	◌p ◌ˀ
pː	pː	13	◌p ◌ː
pʷː	pːʷ	1	◌p ◌ʷ ◌ː
p̰	p̰	1	◌p ◌̰
p	p​	1	◌p
pʰ	p​ʰ​	1	◌p ◌ʰ
q	q	43	◌q
qʰ	qʰ	7	◌q ◌ʰ
qʷ	qʷ	8	◌q ◌ʷ
qʼʷ	qʷʼ	5	◌q ◌ʼ ◌ʷ
qʼ	qʼ	11	◌q ◌ʼ
qˀ	qˀ	7	◌q ◌ˀ
qʷˀ	qˀʷ	3	◌q ◌ʷ ◌ˀ
qː	qː	5	◌q ◌ː
r	r	173	◌r
r̩	r ̩	1	◌r ◌̩
rː	rr	1	◌r ◌ː
rʲ	rʲ	4	◌r ◌ʲ
rʼ	rʼ	2	◌r ◌’
rˀ	rˀ	2	◌r ◌ˀ
rː	rː	9	◌r ◌ː
r̠ʲ	r̠ʲ	2	◌r ◌̠ ◌ʲ
r̥	r̥	7	◌r ◌̥
r̪	r̪	1	◌r ◌̪
r̪ː	r̪ː	1	◌r ◌̪ ◌ː
s	s	207	◌s
sʰ	sʰ	1	◌s ◌ʰ
sʲ	sʲ	10	◌s ◌ʲ
sʲ	sʲ​	1	◌s ◌ʲ
sʼ	sʼ	6	◌s ◌ʼ
sˤ	sˁ	2	◌s ◌ˤ
sˤː	sˁː	1	◌s ◌ˤ ◌ː
sː	sː	10	◌s ◌ː
s̪	s̪	1	◌s ◌̪
s̪ː	s̪ː	1	◌s ◌̪ ◌ː
s̺	s̺	3	◌s ◌̺
s̺ː	s̺ː	3	◌s ◌̺ ◌ː
sʼ	s’	1	◌s ◌ʼ
t	t	233	◌t
tʰ	th	1	◌t ◌ʰ
tʲ	tj	1	◌t ◌ʲ
tˡ	tl	1	◌t ◌ˡ
ts	ts	61	◌t ◌s
tsʰ	tsh	2	◌t ◌s ◌ʰ
tsʰ	tsʰ	12	◌t ◌s ◌ʰ
tsʲ	tsʲ	6	◌t ◌s ◌ʲ
tsʼ	tsʼ	13	◌t ◌s ◌ʼ
tsˀ	tsˀ	4	◌t ◌s ◌ˀ
tsː	tsː	2	◌t ◌s ◌ː
ts̪	ts̪	1	◌t ◌s ◌̪
ts̪ʼ	ts̪ʼ	1	◌t ◌s ◌̪ ◌ʼ
ts̺	ts̺	1	◌t ◌s ◌̺
tː	tt	2	◌t ◌ː
tɕ	tɕ	7	◌t ◌ɕ
tɕʰ	tɕh	1	◌t ◌ɕ ◌ʰ
tɕʰ	tɕʰ	1	◌t ◌ɕ ◌ʰ
tɕʲ	tɕʲ	2	◌t ◌ɕ ◌ʲ
tɬ	tɬ	6	◌t ◌ɬ
tɬʰ	tɬʰ	1	◌t ◌ɬ ◌ʰ
tɬʼ	tɬʼ	5	◌t ◌ɬ ◌ʼ
tɬː	tɬː	1	◌t ◌ɬ ◌ː
ʈʂ	tʂ	2	◌ʈ ◌ʂ
ʈʂʰ	tʂh	1	◌ʈ ◌ʂ ◌ʰ
ʈʂʰ	tʂʰ	1	◌ʈ ◌ʂ ◌ʰ
ʈʂʼ	tʂʼ	1	◌ʈ ◌ʂ ◌’
tʃʰ	tʃʰ	1	◌t ◌ʃ ◌ʰ
tʃ	tʆ	12	◌t ◌ʃ
tʃʰ	tʆʱ	1	◌t ◌ʃ ◌ʰ
tʰ	tʰ	39	◌t ◌ʰ
tʲ	tʲ	11	◌t ◌ʲ
tʲʰ	tʲʰ	2	◌t ◌ʲ ◌ʰ
tʼʲ	tʲʼ	3	◌t ◌’ ◌ʲ
tʼ	tʼ	32	◌t ◌ʼ
tʼː	tʼː	1	◌t ◌’ ◌ː
tˀ	tˀ	10	◌t ◌ˀ
tˤ	tˁ	2	◌t ◌ˤ
tˤː	tˁː	1	◌t ◌ˤ ◌ː
tː	tː	15	◌t ◌ː
tˠ	tˠ	1	◌t ◌ˠ
tʃ	t̠ʃ	45	◌t ◌ʃ
tʃʰ	t̠ʃh	1	◌t ◌ʃ ◌ʰ
tʃʰ	t̠ʃʰ	6	◌t ◌ʃ ◌ʰ
tʃʲ	t̠ʃʲ	3	◌t ◌ʃ ◌ʲ
tʃʲː	t̠ʃʲː	1	◌t ◌ʃ ◌ʲ ◌ː
tʃʷ	t̠ʃʷ	1	◌t ◌ʃ ◌ʷ
tʃʼ	t̠ʃʼ	7	◌t ◌ʃ ◌ʼ
tʃˀ	t̠ʃˀ	4	◌t ◌ʃ ◌ˀ
tʃʷˀ	t̠ʃˀʷ	1	◌t ◌ʃ ◌ʷ ◌ˀ
tʃː	t̠ʃː	1	◌t ◌ʃ ◌ː
t̠ʲ	t̠ʲ	1	◌t ◌̠ ◌ʲ
t̪	t̪	6	◌t ◌̪
t̪ʰ	t̪ʰ	1	◌t ◌̪ ◌ʰ
t̪ʼ	t̪ʼ	1	◌t ◌̪ ◌ʼ
t̪ː	t̪ː	1	◌t ◌̪ ◌ː
tθʼ	t̪θ̪ʼ	1	◌t ◌θ ◌’
t̰	t̰	1	◌t ◌̰
t̰ʲ	t̰j	1	◌t ◌̰ ◌ʲ
t̻	t̻	1	◌t ◌̻
ts	t͡s	4	◌t ◌s
tsʰ	t͡sʰ	1	◌t ◌s ◌ʰ
tsʲ	t͡sʲ	1	◌t ◌s ◌ʲ
tsʼ	t͡sʼ	2	◌t ◌s ◌ʼ
tɕʰ	t͡ɕʰ	1	◌t ◌ɕ ◌ʰ
tɕʼ	t͡ɕʼ	1	◌t ◌ɕ ◌’
tɬʰ	t͡ɬʰ	1	◌t ◌ɬ ◌ʰ
tɬʼ	t͡ɬʼ	2	◌t ◌ɬ ◌ʼ
ʈʂ	t͡ʂ	2	◌ʈ ◌ʂ
ʈʂʼ	t͡ʂʼ	1	◌ʈ ◌ʂ ◌’
tʃ	t͡ʃ	4	◌t ◌ʃ
tʃʰ	t͡ʃʰ	1	◌t ◌ʃ ◌ʰ
tʃʼ	t͡ʃʼ	2	◌t ◌ʃ ◌ʼ
tθʰ	tθʰ	1	◌t ◌θ ◌ʰ
tʼ	t’	4	◌t ◌ʼ
tʼː	t’ː	1	◌t ◌’ ◌ː
u	u	196	◌u
uː	u:	1	◌u ◌ː
ua	ua	6	◌u ◌a
ui	ui	6	◌u ◌i
ui̯	uj	1	◌u ◌i ◌̯
uo	uo	4	◌u ◌o
uɔ	uɔ	1	◌u ◌ɔ
uə	uə	7	◌u ◌ə
uː	uː	93	◌u ◌ː
uˑ	uˑ	2	◌u ◌ˑ
ũ	ũ	10	◌u ◌̃
ũː	ũː	1	◌u ◌̃ ◌ː
u̘	u̘	4	◌u ◌̘
ũ̘	ũ̘	1	◌u ◌̘ ◌̃
u̝	u̝	3	◌u ◌̝
ṳ	ṳ	1	◌u ◌̤
u̥	u̥	2	◌u ◌̥
v	v	25	◌v
w	w	205	◌w
wʲ	wʲ	1	◌w ◌ʲ
wʼ	wʼ	6	◌w ◌’
wˀ	wˀ	4	◌w ◌ˀ
wː	wː	7	◌w ◌ː
w̥	w̥	3	◌w ◌̥
x	x	72	◌x
xʲ	xʲ	2	◌x ◌ʲ
xʲʷ	xʲʷ	1	◌x ◌ʲ ◌ʷ
xʷ	xʷ	12	◌x ◌ʷ
xʼ	xʼ	1	◌x ◌ʼ
xˀ	xˀ	1	◌x ◌ˀ
y	y	23	◌y
yø	yø	1	◌y ◌ø
yː	yː	13	◌y ◌ː
yˑ	yˑ	1	◌y ◌ˑ
z	z	55	◌z
zʲ	zʲ	1	◌z ◌ʲ
zʼ	zʼ	1	◌z ◌’
zː	zː	2	◌z ◌ː
zˤ	zˤ	1	◌z ◌ˤ
z̪	z̪	1	◌z ◌̪
z̪ː	z̪ː	1	◌z ◌̪ ◌ː
z̪ˤ	z̪ˤ	1	◌z ◌̪ ◌ˤ
z̪ˤː	z̪ˤː	1	◌z ◌̪ ◌ˤ ◌ː
z̺	z̺	1	◌z ◌̺
ã	ã	5	◌a ◌̃
ãː	ãː	2	◌a ◌̃ ◌ː
ä	ä	1	◌a ◌̈
æ	æ	13	◌æ
æː	æː	13	◌æ ◌ː
æ̃ː	æ̃ː	1	◌æ ◌̃ ◌ː
ç	ç	11	◌c ◌̧
çˀ	çˀ	1	◌c ◌̧ ◌ˀ
çː	çː	1	◌c ◌̧ ◌ː
ð	ð	21	◌ð
ðʲ	ðʲ	1	◌ð ◌ʲ
ðˤ	ðˁ	1	◌ð ◌ˤ
ðˤː	ðˁː	1	◌ð ◌ˤ ◌ː
ðː	ðː	2	◌ð ◌ː
ðʲ	ð̪ʲ	5	◌ð ◌ʲ
ðʼ	ð̪ʼ	1	◌ð ◌’
ðʼ	ð’	1	◌ð ◌’
õ	õ	9	◌o ◌̃
õː	õː	4	◌o ◌̃ ◌ː
ø	ø	10	◌ø
øː	øː	9	◌ø ◌ː
ħ	ħ	18	◌ħ
ħʷ	ħʷ​	1	◌ħ ◌ʷ
ħː	ħː	3	◌ħ ◌ː
ĩ	ĩ	6	◌i ◌̃
ĩː	ĩː	2	◌i ◌̃ ◌ː
ŋ	ŋ	123	◌ŋ
ⁿk	ŋk	3	◌ⁿ ◌k
ⁿkʰ	ŋkʰ	1	◌ⁿ ◌k ◌ʰ
ⁿm	ŋm	3	◌ⁿ ◌m
ⁿgb	ŋmɡb	3	◌ⁿ ◌g ◌b
ⁿg	ŋɡ	13	◌ⁿ ◌g
ⁿgʷ	ŋɡʷ	2	◌ⁿ ◌g ◌ʷ
ŋʷ	ŋʷ	10	◌ŋ ◌ʷ
ŋʼʷ	ŋʷʼ	1	◌ŋ ◌’ ◌ʷ
ŋʼ	ŋʼ	3	◌ŋ ◌’
ŋː	ŋː	1	◌ŋ ◌ː
ŋʱ	ŋ̤	1	◌ŋ ◌ʱ
ŋ̊	ŋ̥	2	◌ŋ ◌̊
œ	œ	1	◌œ
œː	œː	4	◌œ ◌ː
ʃ	ś	1	◌ʃ
ũ	ũ	8	◌u ◌̃
ũː	ũː	4	◌u ◌̃ ◌ː
ʒ	ž	1	◌ʒ
ǀ	ǀ	2	◌ǀ
ǀx	ǀx	1	◌ǀ ◌x
ǀxʼ	ǀxʼ	1	◌ǀ ◌x ◌ʼ
ǀʰ	ǀʰ	1	◌ǀ ◌ʰ
ǀʼ	ǀʼ	1	◌ǀ ◌’
ǁ	ǁ	2	◌ǁ
ǁx	ǁx	1	◌ǁ ◌x
ǁxʼ	ǁxʼ	1	◌ǁ ◌x ◌ʼ
ǁʰ	ǁʰ	1	◌ǁ ◌ʰ
ǁ̟	ǁ̟	1	◌ǁ ◌̟
ǂ	ǂ	2	◌ǂ
ǂʼ	ǂʼ	1	◌ǂ ◌’
ǃ	ǃ	1	◌ǃ
ǃx	ǃx	1	◌ǃ ◌x
ǃxʼ	ǃxʼ	1	◌ǃ ◌x ◌ʼ
ǃʰ	ǃʰ	1	◌ǃ ◌ʰ
ǃʼ	ǃʼ	1	◌ǃ ◌’
ə	ǝ	2	◌ə
ɐ	ɐ	6	◌ɐ
ɐː	ɐː	1	◌ɐ ◌ː
ɑ	ɑ	24	◌ɑ
ɑː	ɑ:	2	◌ɑ ◌ː
ɑːi	ɑ:i	1	◌ɑ ◌ː ◌i
ɑːu	ɑ:u	1	◌ɑ ◌ː ◌u
ɑi	ɑi	2	◌ɑ ◌i
ɑu	ɑu	3	◌ɑ ◌u
ɑɯ	ɑɯ	1	◌ɑ ◌ɯ
ɑː	ɑː	15	◌ɑ ◌ː
ɑ̃	ɑ̃	2	◌ɑ ◌̃
ɑ̃ː	ɑ̃ː	1	◌ɑ ◌̃ ◌ː
ɒ	ɒ	1	◌ɒ
ɒː	ɒː	1	◌ɒ ◌ː
ɓ	ɓ	24	◌ɓ
ɔ	ɔ	35	◌ɔ
ɔi	ɔi	1	◌ɔ ◌i
ɔu	ɔu	1	◌ɔ ◌u
ɔː	ɔː	24	◌ɔ ◌ː
ɔ̃	ɔ̃	3	◌ɔ ◌̃
ɔ̤	ɔ̤	1	◌ɔ ◌̤
ɕ	ɕ	7	◌ɕ
ɕʲ	ɕʲ	2	◌ɕ ◌ʲ
ɕʲː	ɕʲː	1	◌ɕ ◌ʲ ◌ː
ɖ	ɖ	7	◌ɖ
ɖʐ	ɖʐ	1	◌ɖ ◌ʐ
ɗ	ɗ	23	◌ɗ
ɘ	ɘ	29	◌ɘ
ɘː	ɘː	3	◌ɘ ◌ː
ɘ̃	ɘ̃	1	◌ɘ ◌̃
ə	ə	24	◌ə
əe	əe	1	◌ə ◌e
əi	əi	2	◌ə ◌i
əi̯	əj	1	◌ə ◌i ◌̯
əo	əo	1	◌ə ◌o
əu	əu	2	◌ə ◌u
əu̯	əw	1	◌ə ◌u ◌̯
əɛ	əɛ	1	◌ə ◌ɛ
əː	əː	7	◌ə ◌ː
ə̃	ə̃	2	◌ə ◌̃
ə̃ː	ə̃ː	1	◌ə ◌̃ ◌ː
ə̄	ə̄	1	◌ə ◌̄
ə̘	ə̘	1	◌ə ◌̘
ɛ	ɛ	33	◌ɛ
ɛi	ɛi	2	◌ɛ ◌i
ɛu	ɛu	1	◌ɛ ◌u
ɛː	ɛː	17	◌ɛ ◌ː
ɛ̃	ɛ̃	4	◌ɛ ◌̃
ɜ	ɜ	7	◌ɜ
ɜi	ɜi	1	◌ɜ ◌i
ɜu	ɜu	1	◌ɜ ◌u
ɜː	ɜː	10	◌ɜ ◌ː
ɟ	ɟ	47	◌ɟ
ɟʝ	ɟʝ	2	◌ɟ ◌ʝ
ɟʰ	ɟʰ	1	◌ɟ ◌ʰ
ɟː	ɟː	1	◌ɟ ◌ː
ɟ̈ʱ	ɟ̈ʱ	1	◌ɟ ◌̈ ◌ʱ
ɟ̟	ɟ̟	1	◌ɟ ◌̟
ɟʝ	ɟ͡ʝ	1	◌ɟ ◌ʝ
ɠ	ɠ	5	◌ɠ
ɠʷ	ɠʷ	1	◌ɠ ◌ʷ
g	ɡ	107	◌g
gb	ɡb	8	◌g ◌b
gbʰ	ɡbʰ	1	◌g ◌b ◌ʰ
gǀ	ɡǀ	1	◌g ◌ǀ
gǁ	ɡǁ	1	◌g ◌ǁ
gǃ	ɡǃ	1	◌g ◌ǃ
gʰ	ɡʰ	3	◌g ◌ʰ
gʷʰ	ɡʰʷ	1	◌g ◌ʷ ◌ʰ
gʲ	ɡʲ	4	◌g ◌ʲ
gʲʷ	ɡʲʷ	1	◌g ◌ʲ ◌ʷ
gʷ	ɡʷ	24	◌g ◌ʷ
gʷʰ	ɡʷʰ	1	◌g ◌ʷ ◌ʰ
gʲ	ɡʸ	1	◌g ◌ʲ
gː	ɡː	2	◌g ◌ː
gʱ	ɡ̈ʱ	1	◌g ◌ʱ
g̊	ɡ̊	1	◌g ◌̊
ɢ	ɢ	10	◌ɢ
ɢʷ	ɢʷ	2	◌ɢ ◌ʷ
ɢː	ɢː	1	◌ɢ ◌ː
ɣ	ɣ	38	◌ɣ
ɣʷ	ɣʷ	5	◌ɣ ◌ʷ
ɣˀ	ɣˀ	1	◌ɣ ◌ˀ
ɣː	ɣː	2	◌ɣ ◌ː
ɤ	ɤ	5	◌ɤ
ɤː	ɤː	4	◌ɤ ◌ː
ɤ̤	ɤ̤	1	◌ɤ ◌̤
ɥ	ɥ	1	◌ɥ
ɦ	ɦ	4	◌ɦ
